Date,Total_Entrants,Previous_Count,New_Entrants,Dropped_Entrants,Net_Change
2026-01-18T11:06:02.270032,498,0,0,0,0
2026-01-18T13:05:17.748694,498,498,0,0,0
2026-01-19T02:03:01.209690,498,498,0,0,0
2026-01-19T08:30:35.716024,498,498,0,0,0
2026-01-20T08:29:43.543513,499,498,1,0,1
2026-01-21T08:29:27.414251,499,499,0,0,0
2026-01-22T08:30:03.957867,499,499,0,0,0
2026-01-23T08:28:11.492447,500,499,1,0,1
2026-01-24T08:24:40.973848,500,500,0,0,0
2026-01-25T08:25:37.379746,501,500,1,0,1
2026-01-26T08:30:17.901028,501,501,0,0,0
2026-01-27T08:31:16.848224,501,501,0,0,0
2026-01-28T08:29:54.763010,501,501,0,0,0
2026-01-29T08:36:53.428806,501,501,0,0,0
2026-01-30T08:12:06.522629,496,501,0,5,-5
2026-01-31T08:07:12.083220,502,496,6,0,6
2026-01-31T19:09:20.495558,501,502,0,1,-1
2026-02-01T08:08:33.980149,501,501,0,0,0
2026-02-02T08:15:13.440473,501,501,0,0,0
2026-02-03T08:13:25.763011,501,501,0,0,0
2026-02-04T08:14:07.598863,501,501,0,0,0
2026-02-05T08:14:54.561310,501,501,0,0,0
2026-02-05T18:58:57.255850,501,501,0,0,0
2026-02-06T08:14:42.673911,501,501,0,0,0
2026-02-07T08:08:14.478759,501,501,0,0,0
2026-02-08T08:08:39.386298,501,501,0,0,0
2026-02-09T08:17:02.681369,501,501,0,0,0
2026-02-10T08:17:32.799044,501,501,0,0,0
2026-02-11T08:16:51.150415,501,501,0,0,0
2026-02-12T08:15:37.819363,501,501,0,0,0
2026-02-13T08:15:47.485022,501,501,0,0,0
2026-02-14T08:08:29.044542,501,501,0,0,0
2026-02-15T08:09:09.046667,501,501,0,0,0
2026-02-16T08:16:20.695007,501,501,0,0,0
2026-02-17T08:16:05.569187,501,501,0,0,0
2026-02-18T08:15:02.913780,502,501,2,1,1
2026-02-19T08:15:24.791746,502,502,0,0,0
2026-02-20T08:15:15.930023,502,502,0,0,0
2026-02-21T08:08:00.607700,502,502,0,0,0
2026-02-22T08:08:23.242243,503,502,1,0,1
2026-02-23T08:16:21.264396,503,503,0,0,0
2026-02-24T08:16:18.820070,503,503,0,0,0
2026-02-25T08:16:41.010005,499,503,1,5,-4
2026-02-26T08:16:02.986698,499,499,0,0,0
2026-02-27T08:14:11.498696,500,499,1,0,1
2026-02-28T08:07:01.549110,500,500,0,0,0
2026-03-01T08:08:00.121186,502,500,2,0,2
2026-03-02T08:14:45.085972,503,502,1,0,1
2026-03-03T08:13:08.869069,504,503,1,0,1
2026-03-04T08:11:27.383620,504,504,0,0,0
2026-03-05T08:12:44.162669,505,504,1,0,1
2026-03-06T08:10:52.792823,505,505,0,0,0
2026-03-07T08:07:19.123139,505,505,1,1,0
2026-03-08T08:07:41.095319,505,505,0,0,0
2026-03-09T08:15:15.022499,504,505,0,1,-1
2026-03-10T08:13:05.860569,504,504,0,0,0
2026-03-11T08:13:15.230781,505,504,1,0,1
2026-03-12T08:14:41.803557,505,505,0,0,0
2026-03-13T08:13:13.379268,505,505,0,0,0
2026-03-14T08:09:39.658133,505,505,0,0,0
2026-03-15T08:12:11.918157,505,505,0,0,0
2026-03-16T08:25:25.553071,505,505,0,0,0
2026-03-17T08:17:16.039920,504,505,0,1,-1
2026-03-18T08:16:28.925255,504,504,0,0,0
2026-03-19T08:15:14.445918,504,504,0,0,0
2026-03-20T08:13:41.610695,504,504,1,1,0
2026-03-21T08:08:13.290636,504,504,0,0,0
2026-03-22T08:09:29.490274,504,504,0,0,0
2026-03-23T08:21:37.808399,504,504,0,0,0
2026-03-24T08:17:03.826455,504,504,0,0,0
2026-03-25T08:16:54.038262,504,504,0,0,0
2026-03-26T08:20:01.631754,504,504,0,0,0
2026-03-27T08:17:32.785266,504,504,0,0,0
2026-03-28T08:13:05.107722,504,504,0,0,0
2026-03-29T08:13:11.257645,504,504,0,0,0
2026-03-30T08:34:50.236182,503,504,0,1,-1
2026-03-31T08:25:27.813683,503,503,0,0,0
2026-04-01T08:30:17.732740,503,503,0,0,0
2026-04-02T08:23:51.805537,504,503,1,0,1
2026-04-03T08:19:31.039795,504,504,0,0,0
2026-04-04T08:13:57.481299,504,504,0,0,0
2026-04-05T08:14:00.580726,504,504,0,0,0
2026-04-06T08:34:58.016451,504,504,0,0,0
2026-04-07T08:28:59.101365,504,504,0,0,0
2026-04-08T08:28:11.946696,505,504,1,0,1
2026-04-09T08:34:14.208523,505,505,0,0,0
2026-04-10T08:33:29.666232,505,505,0,0,0
2026-04-11T08:14:19.521161,505,505,0,0,0
2026-04-12T08:19:06.095268,506,505,1,0,1
2026-04-13T08:44:41.144659,506,506,0,0,0
